,Date,Year,Type,Country,Area,Location,Activity,Sex ,Age,Fatal (Y/N),Time,Species 
1632,09-Oct-2004,2004,Unprovoked,USA,Hawaii,Moloka'i,FISHING,M,34,N,12h40,TIGER SHARK
1633,09-Oct-2004,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,SURFING/WATERSPORTS,M,34,N,Morning,RAGGEDTOOTH SHARK
1634,06-Oct-2004,2004,Unprovoked,REUNION,Conservatória District,"P' tit Paris, Saint-Pierre",SURFING/WATERSPORTS,M,15,N,16h15,TIGER SHARK
1635,02-Oct-2004,2004,Unprovoked,USA,California,"Pismo Beach, San Luis Obispo County",SURFING/WATERSPORTS,M,16,N,15h30,Unknown
1636,01-Oct-2004,2004,Unprovoked,USA,California,"Lifeguard Tower 16, Huntington Beach, Orange County",SURFING/WATERSPORTS,M,40,N,14h00,Unknown
1637,25-Sep-2004,2004,Uncertain,AUSTRALIA,Queensland,Batt Reef,FISHING,Unknown,Unknown,N,12h00,TIGER SHARK
1638,20-Sep-2004,2004,Unprovoked,USA,Oregon,Gold  Beach,SURFING/WATERSPORTS,M,26,N,09h00,WHITE SHARK
1639,10-Sep-2004,2004,Uncertain,USA,Texas,South Padre Island,SURFING/WATERSPORTS,M,Unknown,Unknown,Between 05h00 and 08h00,Unknown
1640,08-Sep-2004,2004,Unprovoked,BRAZIL,Pernambuco,"Pina, Recife",SWIMMING/DIVING,Unknown,Unknown,Y,Unknown,Unknown
1641,04-Sep-2004,2004,Unprovoked,USA,South Carolina ,"North of Apache Pier, Myrtle Beach, Horry County",JUMPING,F,17,N,15h40,Unknown
1642,29-Aug-2004,2004,Unprovoked,USA,Florida,"New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County",WALKING,F,38,N,17h30,Unknown
1643,21-Aug-2004,2004,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",SWIMMING/DIVING,M,24,N,13h00,TIGER SHARK
1644,20-Aug-2004,2004,Unprovoked,USA,California,"204s, San Clemente, Orange County",SURFING/WATERSPORTS,M,Unknown,N,17h30,WHITE SHARK
1645,15-Aug-2004,2004,Unprovoked,USA,California,"Kibesillah, Mendocino County",SWIMMING/DIVING,M,50,Y,16h00,WHITE SHARK
1646,06-Aug-2004,2004,Unprovoked,USA,Florida,"Big Bayou, St. Petersburg, Pinellas County ",SWIMMING/DIVING,M,47,N,20h30,Unknown
1647,03-Aug-2004,2004,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,FISHING,M,30,N,14h00,Unknown
1648,Aug-2004,2004,Uncertain,SOUTH AFRICA,KwaZulu-Natal,Park Rynie,FISHING,Unknown,Unknown,N,Unknown,WHITE SHARK
1649,31-Jul-2004,2004,Unprovoked,USA,Florida,"Cocoa  Beach, Brevard County",SURFING/WATERSPORTS,F,20,N,13h00,Unknown
1650,30-Jul-2004,2004,Unprovoked,RUSSIA,Kuril Islands in the Pacific,"Kunashir Island, 70 km from northern Japan",SWIMMING/DIVING,M,Unknown,N,Unknown,WHITE SHARK
1651,28-Jul-2004,2004,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",SURFING/WATERSPORTS,F,28,N,17h30,Unknown
1652,27-Jul-2004,2004,Unprovoked,USA,North Carolina,"Carolina Beach, New Hanover County",SWIMMING/DIVING,F,13,N,17h00,Unknown
1653,27-Jul-2004,2004,Unprovoked,USA,Texas,Galveston Island,SWIMMING/DIVING,F,19,N,16h30,Unknown
1654,25-Jul-2004,2004,Unprovoked,USA,Texas,"Bryan Beach, Brazoria County",SWIMMING/DIVING,M,11,N,19h30,BULL SHARK
1655," 19-Jul-2004 Reported to have happened  ""on the weekend""",2004,Uncertain,AUSTRALIA,Western Australia,"7 km off Trigg surf beach, Perth",FISHING,Unknown,Unknown,N,Unknown,WHITE SHARK
1656,15-Jul-2004 ,2004,Unprovoked,JAPAN,Wakayama Prefecture,Susami,SURFING/WATERSPORTS,M,51,N,Unknown,MAKO SHARK
1657,10-Jul-2004,2004,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders Beach, Margaret River",SURFING/WATERSPORTS,M,30,Y,14h10,Unknown
1658,02-Jul-2004,2004,Unprovoked,EGYPT,Sinai Peninsula,The lagoon at Dahab,SWIMMING/DIVING,F,Teen,N,Unknown,Unknown
1659,02-Jul-2004,2004,Unprovoked,USA,Alabama,"Gulf Shores Beach, Baldwin County",SWIMMING/DIVING,M,7,N,16h40,Unknown
1660,26-Jun-2004,2004,Unprovoked,USA,California,"San Onofre State Beach, San Diego County",SURFING/WATERSPORTS,M,45,N,09h00,WHITE SHARK
1661,26-Jun-2004,2004,Uncertain,AUSTRALIA,Western Australia,Floreat Beach,FISHING,M,Unknown,Unknown,Unknown,Unknown
1662,14-Jun-2004,2004,Unprovoked,USA,Florida,"Disney / Vero Beach, Indian River County",SWIMMING/DIVING,F,Unknown,N,Unknown,Unknown
1663,10-Jun-2004,2004,Unprovoked,AUSTRALIA,Western Australia,Bunbury,SURFING/WATERSPORTS,M,17,N,Late afternoon,WHALER SHARK
1664,10-Jun-2004,2004,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",SWIMMING/DIVING,M,8,N,18h00,Unknown
1665,02-Jun-2004,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Dyer Island,SWIMMING/DIVING,M,21,Y,15h00,WHITE SHARK
1666,29-May-2004,2004,Unprovoked,USA,Texas,"Pirate's Beach, Galveston Island",SWIMMING/DIVING,M,16,N,19h45,Unknown
1667,23-May-2004,2004,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,SWIMMING/DIVING,M,17,N,14h30,BULL SHARK
1668,28-May-2004,2004,Unprovoked,USA,California,"Salmon Creek, Sonoma County",SURFING/WATERSPORTS,M,44,N,11h00,Unknown
1669,23-May-2004,2004,Unprovoked,USA,Florida,"St. Augustine, St. John's County",SURFING/WATERSPORTS,M,9,N,12h30,Unknown
1670,22-May-2004,2004,Uncertain,USA,Florida,St. Augustine  St. Johns County,SWIMMING/DIVING,M,9,Unknown,Unknown,Unknown
1671,22-May-2004,2004,Unprovoked,USA,Florida,"Jacksonville Beach, Duval County",UNKNOWN,F,9,N,Afternoon,Unknown
1672,22-May-2004,2004,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",SWIMMING/DIVING,F,24,N,16h00,Unknown
1673,18-May-2004,2004,Provoked,BAHAMAS,Abaco Islands,Green Turtle Cay,SWIMMING/DIVING,M,63,N,15h00,REEF SHARK
1674,04-May-2004,2004,Unprovoked,USA,Texas,Channel between South Padre Island & Padre Island National Seashore,SURFING/WATERSPORTS,M,28,N,16h30,MAKO SHARK
1675,01-May-2004,2004,Unprovoked,BRAZIL,Pernambuco,Piedade ,SWIMMING/DIVING,M,22,Y,Afternoon,Unknown
1676,26-Apr-2004,2004,Unprovoked,AUSTRALIA,New South Wales,"Latitude Reef, near Forster",SWIMMING/DIVING,M,Unknown,N,Morning,WOBBEGONG SHARK
1677,22-Apr-2004,2004,Uncertain,NEW ZEALAND,North Island,Motunui,FISHING,Unknown,Unknown,N,Unknown,WHITE SHARK
1678,13-Apr-2004,2004,Unprovoked, TONGA,Nuku'alofa,30 nautical miles offshore,FISHING,M,Unknown,Y,Unknown,SMALL SHARK
1679,13-Apr-2004,2004,Uncertain, TONGA,Nuku'alofa,30 nautical miles offshore,FISHING,M,Unknown,Y,Unknown,Unknown
1680,07-Apr-2004,2004,Unprovoked,USA,Hawaii,"Kahana Beach, Maui",SURFING/WATERSPORTS,M,57,Y,07h08,TIGER SHARK
1681,05-Apr-2004,2004,Unprovoked,SOUTH AFRICA,Western Cape Province,"Surfers' Corner, Muizenberg, False Bay",SURFING/WATERSPORTS,M,16,N,14h00,WHITE SHARK
1682,04-Apr-2004,2004,Uncertain,USA,Hawaii,Velzyland,SURFING/WATERSPORTS,F,22,Unknown,Unknown,Unknown
1683,31-Mar-2004,2004,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",UNKNOWN,M,26,N,Unknown,Unknown
1684,31-Mar-2004,2004,Unprovoked,USA,Florida,"Stuart Rocks, Martin County",SURFING/WATERSPORTS,M,20,N,09h00,BULL SHARK
1685,29-Mar-2004,2004,Unprovoked,BRAZIL,Pernambuco,Piedade Beach,SURFING/WATERSPORTS,M,22,N,07h30,BULL SHARK
1686,28-Mar-2004,2004,Unprovoked,USA,Florida,"Pelican Beach Park, Satellite Beach, Brevard County",SURFING/WATERSPORTS,M,Unknown,N,15h00,BULL SHARK
1687,27-Mar-2004,2004,Unprovoked,REUNION,Saint-Benoît,Spot de la gare,SURFING/WATERSPORTS,M,20,N,17h00 or 17h40,Unknown
1688,27-Mar-2004,2004,Unprovoked,USA,Florida,"Sanibel Island, Lee County",SWIMMING/DIVING,M,61,N,08h30,Unknown
1689,14-Mar-2004,2004,Unprovoked,USA,Hawaii,Punaluu,SWIMMING/DIVING,F,Unknown,N,10h00,Unknown
1690,22-Mar-2004,2004,Unprovoked,NEW ZEALAND,North Island,Te Arai Point,FISHING,M,Unknown,N,12h30,WHALER SHARK
1691,16-Mar-2004,2004,Unprovoked,USA,Hawaii,"Kalihiwai Beach, Kauai",SURFING/WATERSPORTS,M,51,N,07h45,TIGER SHARK
1692,06-Mar-2004,2004,Unprovoked,AUSTRALIA,Western Australia,5 nm off Cervantes,FISHING,M,47,N,Unknown,WHALER SHARK
1693,29-Feb-2004,2004,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",SWIMMING/DIVING,M,29,Y,15h00,Unknown
1694,26-Feb-2004,2004,Unprovoked,NEW ZEALAND,"South Island, near Karitane north of Dunedin",South Beach,SURFING/WATERSPORTS,M,15,N,19h00,Unknown
1695,21-Feb-2004,2004,Unprovoked,AUSTRALIA,New South Wales,"Taree, Old Bar Beach",SWIMMING/DIVING,M,Unknown,N,Unknown,Unknown
1696,16-Feb-2004,2004,Uncertain,AUSTRALIA,Queensland,"Fido's Reef, 300 m east of Cook Island. Cook Island is 2 miles from Tweed Heads, Gold Coast",SWIMMING/DIVING,M,31,Unknown,11h00,Unknown
1697,14-Feb-2004,2004,Unprovoked,EGYPT,Unknown,"Coral Bay, Sharm-el-Sheikh",SWIMMING/DIVING,M,Unknown,Y,Unknown,Unknown
1698,11-Feb-2004,2004,Unprovoked,AUSTRALIA,New South Wales,Caves Beach,SWIMMING/DIVING,M,22,N,Unknown,BROWN SHARK
1699,25-Jan-2004,2004,Unprovoked,AUSTRALIA,Western Australia,Binningup,SWIMMING/DIVING,M,46,N,11h05,WHITE SHARK
1700,23-Jan-2004,2004,Unprovoked,URUGUAY,Rocha,Ensenada de la Coronilla,SURFING/WATERSPORTS,M,21,N,Unknown,SANDTIGER SHARK
1701,22-Jan-2004,2004,Uncertain,NEW ZEALAND,Northlands,90 Mile Beach,SURFING/WATERSPORTS,M,Unknown,Unknown,Unknown,Unknown
1702,21-Jan-2004,2004,Unprovoked,VENEZUELA,Anzoategui,"Playa Colorada Beach, Mochima National Park, only 200 m west of Santa Cruz Beach",SWIMMING/DIVING,M,Unknown,N,14h30,BULL SHARK
1703,21-Jan-2004,2004,Unprovoked,VENEZUELA,Anzoategui,"Santa Cruz Beach, Mochima National Park, 250 km from Caracas",FISHING,M,40,N,11h00,BULL SHARK
1704,Reported 15-Jan-2004 ,2004,Uncertain,SOUTH AFRICA,KwaZulu-Natal,Ballito,SURFING/WATERSPORTS,M,Unknown,N,Unknown,MAKO SHARK
1705,12-Jan-2004,2004,Unprovoked,AUSTRALIA,New South Wales,Bushrangers Pass at Bass Point,SWIMMING/DIVING,M,Unknown,N,Midday,RAGGEDTOOTH SHARK
1706,07-Jan-2004,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"West Beach, Port Alfred",SURFING/WATERSPORTS,M,22,N,Unknown,RAGGEDTOOTH SHARK
1707,03-Jan-2004,2004,Uncertain,NEW ZEALAND,North Island,"Whiritoa, Eastern Cormandel",FISHING,M,Unknown,Unknown,Afternoon,Unknown
1708,03-Jan-2004,2004,Uncertain,EGYPT,Sinai Peninsula,Off Sharm El-Sheikh,AIR DISASTER. FLASH AIRLINES BOEING 737 CRASHED INTO THE RED SEA,Unknown,Unknown,Y,03h00,Unknown
1709,2004,2004,Unprovoked,AUSTRALIA,Western Australia,Redgate Beach,SURFING/WATERSPORTS,M,Unknown,N,Morning,Unknown
1710,31-Dec-2003,2003,Uncertain,SOUTH AFRICA,KwaZulu-Natal,Salt Rock ,UNKNOWN,Unknown,Unknown,N,Unknown,MAKO SHARK
1711,26-Dec-2003,2003,Uncertain,USA,Florida,"Miami, Dade County",SWIMMING/DIVING,M,28,Unknown,Unknown,Unknown
1712,13-Dec-2003,2003,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",SWIMMING/DIVING,M,13,N,13h15,Unknown
1713,13-Dec-2003,2003,Unprovoked,NEW ZEALAND,Cook Islands,Pukapuka Northern Group,SWIMMING/DIVING,M,45,Y,Night,Unknown
1714,08-Dec-2003,2003,Unprovoked,AUSTRALIA,Victoria,Collendina Beach east of Ocean Grove,SURFING/WATERSPORTS,M,36,N,09h30,Unknown
1715,30-Nov-2003,2003,Unprovoked,AUSTRALIA,Western Australia,Perth? (Margaret River District),SWIMMING/DIVING,M,Unknown,N,11h30,WOBBEGONG SHARK
1717,27-Nov-2003,2003,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sodwana,FISHING,M,21,Y,>08h00,TIGER SHARK
1718,22-Nov-2003,2003,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",SURFING/WATERSPORTS,F,35,N,15h30,Unknown
1719,12-Nov-2003 ,2003,Unprovoked,INDIA,Tamil Nadu,"Mahabalipuram beach, 37 km south of Chennai",SURFING/WATERSPORTS,M,35,N,Unknown,TIGER SHARK
1720,12-Nov-2003,2003,Unprovoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",SURFING/WATERSPORTS,M,24,N,Unknown,Unknown
1721,06-Nov-2003,2003,Unprovoked,EGYPT,Sinai Peninsula,"Shaab Mahmud, Ras Mohamed Park",SWIMMING/DIVING,M,Unknown,N,Unknown,WHITETIP SHARK
1722,06-Nov-2003,2003,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Karridene,SURFING/WATERSPORTS,Unknown,Unknown,N,Unknown,WHITE SHARK
1723,01-Nov-2003,2003,Unprovoked,AUSTRALIA,New South Wales,"Seal Rocks, north of Newcastle",STANDING,M,Unknown,N,Dusk,Unknown
1724,Nov-2003,2003,Provoked,PANAMA,Pearl Islands,Unknown,FISHING,M,Unknown,N,Unknown,NURSE SHARK
1725,31-Oct-2003,2003,Unprovoked,USA,Florida,"Ponte Vedra Beach, St. Johns County",SURFING/WATERSPORTS,M,18,N,15h00,Unknown
1726,31-Oct-2003,2003,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Seal Rocks",SURFING/WATERSPORTS,M,22,N,17h30,NURSE SHARK
1727,31-Oct-2003,2003,Unprovoked,USA,Hawaii,"Tunnels surf break off Makua Beach, Kaua'i",SURFING/WATERSPORTS,F,13,N,07h30,TIGER SHARK
1728,27-Oct-2003,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",SURFING/WATERSPORTS,M,46,N,12h20,Unknown
1729,24-Oct-2003,2003,Uncertain,USA,Hawaii,Honolua Bay,SWIMMING/DIVING,M,56,Unknown,12h20,Unknown
1730,14-Oct-2003,2003,Unprovoked,USA,Florida,Near Patrick Air Force Base Brevard County,SURFING/WATERSPORTS,M,19,N,--,Unknown
1731,06-Oct-2003,2003,Uncertain,USA,Florida,Palm Beach?,SWIMMING/DIVING,M,Unknown,Y,--,Unknown
1732,05-Oct-2003,2003,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",SURFING/WATERSPORTS,F,Unknown,N,15h00,Unknown
1733,05-Oct-2003,2003,Unprovoked,USA,Florida,"Stuart Park Beach, Martin County",SURFING/WATERSPORTS,M,18,N,14h30,Unknown
1734,05-Oct-2003,2003,Provoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",SURFING/WATERSPORTS,M,30,N,14h00,Unknown
1735,05-Oct-2003,2003,Unprovoked,USA,Florida,"Crawford Road beach approach at New Smyrna Beach, Volusia County",SURFING/WATERSPORTS,M,50,N,12h02,Unknown
1736,05-Oct-2003,2003,Unprovoked,USA,Hawaii,"Cove Beach / Kalama Beach, Kihei, Maui",SWIMMING/DIVING,F,41,N,12h55,COLORED SHARK
1737,29-Sep-2003,2003,Unprovoked,FIJI,Taveuni,Welagi coastal reef off Drekeniwai,SWIMMING/DIVING,M,40,Y,Night,Unknown
1738,28-Sep-2003,2003,Unprovoked,USA,Florida,"North Hutchinson Island, St. Lucie Couny",SURFING/WATERSPORTS,M,16,N,07h45,Unknown
1739,21-Sep-2003,2003,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",SURFING/WATERSPORTS,M,21,N,11h45,Unknown
1740,19-Sep-2003,2003,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",SURFING/WATERSPORTS,M,19,N,16h30,Unknown
1741,17-Sep-2003,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",SURFING/WATERSPORTS,M,17,N,14h00,Unknown
1742,14-Sep-2003,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",SURFING/WATERSPORTS,M,30,N,16h14,Unknown
1743,14-Sep-2003,2003,Uncertain,SOUTH AFRICA,Western Cape Province,Melkbosstrand,FISHING,Unknown,36 & 26,N,09h40,COW SHARK
1744,14-Sep-2003,2003,Uncertain,USA,Florida,"Bathtub Reef Beach, Martin County",SWIMMING/DIVING,F,8 or 10,Unknown,13h30,Unknown
1745,13-Sep-2003,2003,Unprovoked,USA,Florida,"Daytona Beach, Volusia County ",SURFING/WATERSPORTS,M,18,N,17h11,Unknown
1746,13-Sep-2003,2003,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County","STANDING, STEPPED ON SHARK",M,15,N,Afternoon,Unknown
1747,12-Sep-2003,2003,Unprovoked,SOUTH AFRICA,Western Cape Province,Near the wreck of the Kakapo off Noordhoek Beach,SURFING/WATERSPORTS,M,19,Y,14h30,WHITE SHARK
1748,Sep-2003,2003,Unprovoked,USA,Florida,"Boca Grande, Lee County",FISHING,M,Unknown,N,Unknown,Unknown
1749,29-Aug-2003,2003,Provoked,USA,Texas,1.5 miles off Surfside ,FISHING,M,Unknown,N,12h20,BULL SHARK
1750,19-Aug-2003,2003,Unprovoked,USA,California,"Avila Beach, San Luis Obispo County",SWIMMING/DIVING,F,50,Y,08h15,WHITE SHARK
1751,12-Aug-2003,2003,Uncertain,USA,California,"Venice Beach, Los Angeles County",SWIMMING/DIVING,M,31,Unknown,00h30,Unknown
1752,08-Aug-2003,2003,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,SURFING/WATERSPORTS,M,16,N,08h00,WHITE SHARK
1753,Reported 26-Jul-2003,2003,Unprovoked,AUSTRALIA,Northern Territory,Nhulunbuy,SURFING/WATERSPORTS,M,37,N,Unknown,Unknown
1754,20-Jul-2003,2003,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",SURFING/WATERSPORTS,M,18,N,15h45,Unknown
1755,15-Jul-2003,2003,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",SWIMMING/DIVING,F,15,N,14h37,Unknown
1756,10-Jul-2003,2003,Unprovoked,BAHAMAS,Abaco Islands,Bakers Bay,FISHING,M,58,N,14h30,Unknown
1757,05-Jul-2003,2003,Provoked,USA,Florida,"Near New Smyrna Jetty, Volusia County",SURFING/WATERSPORTS,M,10,N,10h07,Unknown
1758,05-Jul-2003,2003,Unprovoked,USA,Florida,"Canova Beach, Brevard County",SURFING/WATERSPORTS,M,21,N,Unknown,Unknown
1759,04-Jul-2003,2003,Unprovoked,BAHAMAS,Abaco Islands,10 miles west of Walkers Cay,FISHING,M,39,N,14h45,BULL SHARK
1760,Jul-2003,2003,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",FISHING,M,Unknown,N,Unknown,HAMMERHEAD SHARK
1761,Late Jul-2003,2003,Unprovoked,FRENCH POLYNESIA,Society Islands,Moorea,FISHING,M,Unknown,N,Unknown,Unknown
1762,Jul-2003,2003,Unprovoked,NEW ZEALAND,Cook Islands,Beveridge Reef,SWIMMING/DIVING,M,Unknown,N,Unknown,REEF SHARK
1763,30-Jun-2003,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",SURFING/WATERSPORTS,M,17,N,13h53,Unknown
1764,26-Jun-2003,2003,Unprovoked,USA,Florida,St Augustine Beach. St. Johns County,SURFING/WATERSPORTS,M,15,N,Morning,Unknown
1765,24-Jun-2003,2003,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife",UNKNOWN,M,Unknown,Y,Unknown,Unknown
1766,24-Jun-2003,2003,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",STANDING,F,12,N,Afternoon,BROWN SHARK
1767,24-Jun-2003,2003,Unprovoked,USA,Hawaii,"Makua Beach, Oahu",SWIMMING/DIVING,M,60,N,08h00,Unknown
1768,22-Jun-2003,2003,Unprovoked,USA,Johnston Atoll,Unknown,SWIMMING/DIVING,M,51,N,Afternoon,Unknown
1769,19-Jun-2003,2003,Unprovoked,USA,North Carolina,"Masonboro Island, New Hanover County",SURFING/WATERSPORTS,M,33,N,Late afternoon,SAND SHARK
1770,08-Jun-2003,2003,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",SURFING/WATERSPORTS,Unknown,15,N,11h55,Unknown
1771,Jun-2003,2003,Uncertain,USA,South Carolina,"Pawleys Island, Georgetown County",SWIMMING/DIVING,F,22,Unknown,Unknown,Unknown
1772,25-May-2003,2003,Unprovoked,USA,Florida,"Coral Cove Park, Jupiter Inlet, Palm Beach County",SURFING/WATERSPORTS,M,18,N,10h00,Unknown
1773,14-May-2003,2003,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County ",SWIMMING/DIVING,M,22,N,13h23,Unknown
1774,10-May-2003,2003,Unprovoked,USA,Hawaii,Between Magic Sands Beach and Kahaluu Beach on the Kona coast,SWIMMING/DIVING,M,20,N,11h45,REEF SHARKCOLORED SHARK
1775,07-May-2003,2003,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",SURFING/WATERSPORTS,M,34,N,11h40,Unknown
1776,03-May-2003,2003,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",WALKING,F,9,N,12h20,Unknown
1777,May-2003,2003,Unprovoked,PHILIPPINES,Baatan,Limay,UNKNOWN,Unknown,Unknown,N,Unknown,WHITE SHARK
1778,26-Apr-2003,2003,Provoked,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",KILLING  SHARKS,M,Unknown,N,Unknown,Unknown
1779,25-Apr-2003,2003,Unprovoked,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",SWIMMING/DIVING,M,16,N,18h30,Unknown
1780,23-Apr-2003,2003,Unprovoked,BRAZIL,Pernambuco,"Pau Amarelo Beach, Paulista District (17 km from Recife)",SURFING/WATERSPORTS,M,17,N,17h00,BULL SHARK
1781,23-Apr-2003,2003,Unprovoked,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",SWIMMING/DIVING,M,7,N,Unknown,Unknown
1782,21-Apr-2003,2003,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County ",SURFING/WATERSPORTS,M,36,N,14h30,Unknown
1783,21-Apr-2003,2003,Unprovoked,USA,Florida,"Shepard Park, Cocoa Beach, Brevard County ",SURFING/WATERSPORTS,M,17,N,13h30,Unknown
1784,20-Apr-2003,2003,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",SURFING/WATERSPORTS,M,30,N,Afternoon,Unknown
1785,20-Apr-2003,2003,Unprovoked,USA,Florida,"Sunglow Pier, Daytona Beach Shores, Volusia County",SURFING/WATERSPORTS,M,23,N,09h00,Unknown
1786,20-Apr-2003,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",SURFING/WATERSPORTS,M,18,N,14h20,Unknown
1787,19-Apr-2003,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County  ",JUMPING,M,11,N,13h20,Unknown
1788,18-Apr-2003,2003,Unprovoked,USA,Florida,"North Beach, Patrick AFB, Brevard County",SURFING/WATERSPORTS,M,12,N,08h50,Unknown
1789,15-Apr-2003,2003,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",SWIMMING/DIVING,M,20,N,13h00,Unknown
1790,11-Apr-2003,2003,Unprovoked,VENEZUELA,Nueva Esparta,"El Yaqu, Isla de Margarita",SURFING/WATERSPORTS,M,28,N,--,MAKO SHARK
1791,09-Apr-2003,2003,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",SURFING/WATERSPORTS,M,Unknown,N,Dusk,Unknown
1792,04-Apr-2003,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",SURFING/WATERSPORTS,M,50,N,08h00,Unknown
1793,10-Mar-2003,2003,Provoked,USA,Florida,"Petting Tank, Florida Aquarium, Tampa, Hillsborough County",PETTING CAPTIVE SHARKS,F,Unknown,N,Unknown,CAPTIVE SHARK
1794,27-Feb-2003,2003,Unprovoked,NEW ZEALAND,Southland,East side of Bench Island in the Foveaux Strait,SWIMMING/DIVING,M,44,N,11h45,WHITE SHARK
1795,15-Feb-2003,2003,Unprovoked,AUSTRALIA,South Australia,"Goolwa Beach, Fleurieu Peninsula",SWIMMING/DIVING,M,37,N,Dusk,SMALL SHARK
1796,15-Feb-2003,2003,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",SWIMMING/DIVING,M,54,N,12h10,Unknown
1797,11-Feb-2003,2003,Unprovoked,AUSTRALIA,New South Wales,"Coogee Bay, near Sydney",SWIMMING/DIVING,M,24,N,--,NURSE SHARK
1798,08-Feb-2003,2003,Unprovoked,AUSTRALIA,Queensland,Burleigh Lake on the Gold Coast,SWIMMING/DIVING,M,84,Y,Morning,BULL SHARK
1799,17-Jan-2003,2003,Uncertain,SOUTH AFRICA,Western Cape Province,"Near the lagoon at Table View, Cape Peninsula",UNKNOWN,M,14,Unknown,--,Unknown
1800,03-Jan-2003,2003,Unprovoked,COSTA RICA,North Pacific coast,Playa Tamarindo ,SURFING/WATERSPORTS,M,Unknown,N,Unknown,BULL SHARK
1801,02-Jan-2003,2003,Unprovoked,AUSTRALIA,Western Australia,Left break at the Hot Spot at Sheringa Beach,SURFING/WATERSPORTS,F,Unknown,N,13h00,WHALER SHARK
1802,29-Dec-2002,2002,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef  (near Upolu Bay),SWIMMING/DIVING,F,18,N,Unknown,HAMMERHEAD SHARK
1803,24-Dec-2002,2002,Unprovoked,SOUTH AFRICA,Western Cape Province,Scarborough,SWIMMING/DIVING,M,25,N,Just after 12h00,WHITE SHARKWHITE SHARK
1804,21-Dec-2002,2002,Unprovoked,AUSTRALIA,Queensland,Depth of 40 m on the wreck of the St. Paul off Brisbane,SWIMMING/DIVING,M,26,N,Unknown,WOBBEGONG SHARK
1805,20-Dec-2002,2002,Uncertain,AUSTRALIA,Queensland,Golden Beach,SWIMMING/DIVING,M,11,Unknown,Unknown,Unknown
1806,16-Dec-2002,2002,Unprovoked,AUSTRALIA,Queensland,Miami Lake,SWIMMING/DIVING,M,23,Y,02h30,BULL SHARK
1807,01-Dec-2002,2002,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",SURFING/WATERSPORTS,M,19,Y,Unknown,Unknown
